Name,Asx D/L,Glx D/L,Ser D/L,Arg D/L,Ala D/L,Tyr D/L,Val D/L,Phe D/L,Leu D/L,Ile D/L,[Ser]/[Ala],Bleached,Type,Time,Genus,Species,materials
0578bH,0.18,0.07,0.23,0.47,0.07,0.00,0.07,0.00,0.00,0.06,0.466406219,b,H,,Patella,vulgata,shell
0578bH,0.18,0.07,0.22,0.36,0.07,0.00,0.07,0.00,0.00,0.06,0.47148356,b,H,,Patella,vulgata,shell
5859bF,0.66,0.31,0.92,0.89,0.52,0.00,0.31,0.50,0.44,0.38,0.461311034,b,F,,Patella,sp.,shell
5859bF,0.66,0.32,0.95,0.79,0.52,0.00,0.29,0.47,0.42,0.34,0.457087609,b,F,,Patella,sp.,shell
5859bH*,0.37,0.17,0.45,0.25,0.28,0.00,0.13,0.25,0.22,0.13,0.569298975,b,H,*,Patella,sp.,shell
5859bH*,0.37,0.18,0.46,0.27,0.29,0.00,0.11,0.27,0.23,0.22,0.563198869,b,H,*,Patella,sp.,shell
5860bF,0.66,0.32,0.93,0.86,0.52,0.00,0.31,0.52,0.45,0.44,0.502395168,b,F,,Patella,sp.,shell
5860bF,0.67,0.30,0.93,0.79,0.51,0.00,0.30,0.52,0.44,0.47,0.507834788,b,F,,Patella,sp.,shell
5860bH*,0.32,0.17,0.40,0.26,0.28,0.00,0.14,0.26,0.22,0.14,0.641370628,b,H,*,Patella,sp.,shell
5860bH*,0.32,0.17,0.40,0.28,0.29,0.00,0.10,0.27,0.24,0.26,0.630221198,b,H,*,Patella,sp.,shell
5861bF,0.67,0.30,0.91,1.00,0.55,0.00,0.37,0.62,0.56,0.54,0.48852551,b,F,,Patella,sp.,shell
5861bF,0.67,0.33,0.90,0.00,0.54,0.00,0.37,0.54,0.52,0.66,0.495809132,b,F,,Patella,sp.,shell
5861bH*,0.32,0.16,0.38,0.23,0.26,0.00,0.13,0.24,0.22,0.14,0.664274331,b,H,*,Patella,sp.,shell
5861bH*,0.31,0.16,0.38,0.25,0.26,0.00,0.10,0.25,0.24,0.26,0.659376767,b,H,*,Patella,sp.,shell
5862bF,0.68,0.32,0.93,0.78,0.55,0.00,0.42,0.63,0.54,0.52,0.600681919,b,F,,Patella,sp.,shell
5862bF,0.68,0.31,0.94,0.79,0.55,0.00,0.43,0.62,0.56,0.50,0.589964148,b,F,,Patella,sp.,shell
5862bH*,0.33,0.18,0.43,0.29,0.29,0.00,0.15,0.27,0.26,0.15,0.685158217,b,H,*,Patella,sp.,shell
5862bH*,0.33,0.19,0.44,0.34,0.29,0.00,0.13,0.29,0.27,0.27,0.67949741,b,H,*,Patella,sp.,shell
5867bF,0.67,0.30,0.97,0.79,0.52,0.00,0.30,0.50,0.44,0.44,0.450106721,b,F,,Patella,sp.,shell
5867bF,0.67,0.30,0.97,0.75,0.52,0.00,0.28,0.49,0.42,0.51,0.44857911,b,F,,Patella,sp.,shell
5867bH*,0.35,0.14,0.28,0.18,0.25,0.00,0.12,0.20,0.00,0.22,0.739075556,b,H,*,Patella,sp.,shell
5867bH*,0.35,0.14,0.28,0.19,0.26,0.00,0.11,0.20,0.18,0.12,0.748153849,b,H,*,Patella,sp.,shell
5868bF,0.66,0.30,0.90,1.01,0.52,0.00,0.30,0.53,0.46,0.42,0.508425997,b,F,,Patella,sp.,shell
5868bF,0.67,0.29,0.91,0.93,0.52,0.00,0.28,0.52,0.46,0.41,0.43205067,b,F,,Patella,sp.,shell
5868bH*,0.31,0.12,0.20,0.16,0.22,0.00,0.13,0.17,0.19,0.18,0.967520682,b,H,*,Patella,sp.,shell
5868bH*,0.31,0.12,0.20,0.16,0.22,0.00,0.10,0.17,0.15,0.11,0.981611687,b,H,*,Patella,sp.,shell
5869bF,0.67,0.30,0.94,0.85,0.54,0.00,0.37,0.64,0.54,0.54,0.503917547,b,F,,Patella,sp.,shell
5869bF,0.67,0.31,0.90,0.86,0.54,0.00,0.39,0.61,0.53,0.58,0.48151992,b,F,,Patella,sp.,shell
5869bH*,0.28,0.11,0.17,0.17,0.23,0.00,0.11,0.17,0.16,0.12,0.970872139,b,H,*,Patella,sp.,shell
5869bH*,0.29,0.12,0.20,0.17,0.22,0.00,0.11,0.19,0.16,0.18,0.91848684,b,H,*,Patella,sp.,shell
5870bF,0.67,0.29,0.88,0.78,0.53,0.00,0.38,0.63,0.62,0.56,0.593126487,b,F,,Patella,sp.,shell
5870bF,0.68,0.28,0.83,0.82,0.53,0.00,0.39,0.66,0.55,0.57,0.587119753,b,F,,Patella,sp.,shell
5870bH*,0.30,0.12,0.19,0.22,0.27,0.00,0.12,0.19,0.18,0.13,1.044552495,b,H,*,Patella,sp.,shell
5870bH*,0.30,0.12,0.19,0.21,0.24,0.00,0.12,0.18,0.18,0.18,1.114825755,b,H,*,Patella,sp.,shell
6093bF,0.65,0.32,0.95,0.00,0.55,#DIV/0!,0.54,0.53,0.90,2.17,0.478587127,b,F,,Patella,sp.,shell
6093bF,0.66,0.32,0.94,0.00,0.58,0.00,0.47,0.68,0.65,0.57,0.423817491,b,F,,Patella,sp.,shell
6093bH*,0.33,0.17,0.45,0.00,0.31,#DIV/0!,0.18,0.24,0.33,0.25,0.581768628,b,H,*,Patella,sp.,shell
6093bH*,0.33,0.18,0.44,0.00,0.28,0.00,0.17,0.24,0.50,0.34,0.599679449,b,H,*,Patella,sp.,shell
6094bF,0.61,0.33,0.93,0.00,0.56,0.00,0.57,0.35,0.88,0.53,0.425408007,b,F,,Patella,sp.,shell
6094bF,0.61,0.32,0.71,0.00,0.54,0.00,0.53,0.35,0.73,0.00,0.4591062,b,F,,Patella,sp.,shell
6094bH*,0.28,0.17,0.37,0.00,0.30,#DIV/0!,0.21,0.15,0.38,0.19,0.595264133,b,H,*,Patella,sp.,shell
6094bH*,0.28,0.17,0.36,0.00,0.29,#DIV/0!,0.20,0.14,0.53,0.23,0.6003206,b,H,*,Patella,sp.,shell
6098bF,0.68,0.35,0.98,#DIV/0!,0.60,0.00,0.43,0.47,0.73,0.61,0.451974466,b,F,,Patella,sp.,shell
6098bF,0.66,0.35,0.98,0.00,0.59,0.00,0.38,0.00,0.70,0.56,0.44501013,b,F,,Patella,sp.,shell
6098bH*,0.34,0.20,0.51,0.00,0.36,0.00,0.21,0.23,0.34,0.27,0.563748504,b,H,*,Patella,sp.,shell
6098bH*,0.35,0.20,0.53,0.00,0.35,0.00,0.22,0.23,0.36,0.32,0.553165607,b,H,*,Patella,sp.,shell
6101bF,0.67,0.31,0.96,0.73,0.51,0.00,0.31,0.48,0.56,0.37,0.540106695,b,F,,Patella,sp.,shell
6101bF,0.63,0.30,0.97,0.76,0.50,0.00,0.27,0.50,0.59,0.45,0.542974934,b,F,,Patella,sp.,shell
6101bH*,0.40,0.17,0.55,0.00,0.28,#DIV/0!,0.16,0.00,0.29,0.22,0.602539285,b,H,*,Patella,sp.,shell
6101bH*,0.40,0.17,0.55,0.00,0.27,#DIV/0!,0.15,0.22,0.31,0.30,0.61007086,b,H,*,Patella,sp.,shell
6102bF,0.61,0.23,0.62,#DIV/0!,0.48,#DIV/0!,0.00,0.00,0.00,0.00,0.466712971,b,F,,Patella,sp.,shell
6102bF,0.58,0.30,0.75,#DIV/0!,0.42,#DIV/0!,0.00,0.00,0.00,0.00,0.411697909,b,F,,Patella,sp.,shell
6102bH*,0.52,0.16,0.44,0.00,0.23,#DIV/0!,0.00,0.00,0.00,0.00,0.442150746,b,H,*,Patella,sp.,shell
6102bH*,0.51,0.17,0.52,0.00,0.28,#DIV/0!,0.15,0.00,0.91,0.24,0.451042066,b,H,*,Patella,sp.,shell
6103bF,0.68,0.33,0.95,0.00,0.55,0.00,0.34,0.46,0.58,0.43,0.494662528,b,F,,Patella,sp.,shell
6103bF,0.66,0.32,0.98,0.00,0.55,0.00,0.33,0.50,0.53,0.45,0.485958908,b,F,,Patella,sp.,shell
6103bH*,0.40,0.19,0.49,0.00,0.34,#DIV/0!,0.18,0.25,0.33,0.25,0.584437501,b,H,*,Patella,sp.,shell
